Name,GIH WR
アンの旅/Aang's Journey,54.90%
エネルギーの技/Energybending,50.30%
ズーコの追放/Zuko's Exile,48.90%
"Aang, the Last Airbender",61.30%
アンの氷山/Aang's Iceberg,56.90%
気のベンダーの位に至る/Airbender Ascension,53.10%
気のベンダーの逆転/Airbender's Reversal,54.30%
気の技の修行/Airbending Lesson,57.40%
"Appa, Loyal Sky Bison",52.10%
"Appa, Steadfast Guardian",59.60%
アバターの大ファン/Avatar Enthusiasts,55.30%
アバターの怒り/Avatar's Wrath,55.10%
慈悲深き癒し手/Compassionate Healer,57.40%
農場の奇妙な動物たち/Curious Farm Animals,53.40%
宿命の対決/Destined Confrontation,46.50%
土の王国の牢番/Earth Kingdom Jailer,61.30%
土の王国の守護者たち/Earth Kingdom Protectors,57.60%
アバターの境地へ/Enter the Avatar State,56.50%
華麗な足さばき/Fancy Footwork,53.80%
白蓮を集めよ/Gather the White Lotus,58.00%
グライダーの子どもたち/Glider Kids,56.60%
グライダーの杖/Glider Staff,58.40%
"Hakoda, Selfless Commander",58.50%
侵略の援軍/Invasion Reinforcements,57.20%
ジョン・ジョンの脱走兵たち/Jeong Jeong's Deserters,56.30%
キヨシの戦士たち/Kyoshi Warriors,56.90%
ヤンチェンの伝説/The Legend of Yangchen,65.90%
ピエン・ダオ師/Master Piandao,55.20%
"Momo, Friendly Flier",58.60%
"Momo, Playful Pet",58.80%
開放への道/Path to Redemption,57.70%
ウサギルーの群れ/Rabaroo Troop,52.50%
水刃連環/Razor Rings,56.00%
砂のベンダーの嵐/Sandbenders' Storm,53.10%
南極の航海者/South Pole Voyager,61.20%
南の気の寺/Southern Air Temple,50.50%
"Suki, Courageous Rescuer",62.80%
チーム・アバター/Team Avatar,54.80%
共同戦線/United Front,65.80%
復讐心に燃えた村人/Vengeful Villagers,50.00%
水の部族の隊長/Water Tribe Captain,56.30%
水の部族の結集者/Water Tribe Rallier,60.20%
ヤアヤア！/Yip Yip!,57.20%
積み重ねられた叡智/Accumulate Wisdom,57.00%
心優しき紅小町/Benevolent River Spirit,57.30%
ブーメランの基礎/Boomerang Basics,57.10%
打ち寄せる波濤/Crashing Wave,52.30%
エンバー島の上演/Ember Island Production,52.40%
初めての飛行者/First-Time Flyer,56.60%
方円に随う水のベンダー/Flexible Waterbender,52.90%
万事お見通しの占い師/Forecasting Fortune Teller,57.90%
噴流に乗りて跳ぶ者/Geyser Leaper,51.70%
巨大鯉/Giant Koi,54.20%
ばあば/Gran-Gran,59.50%
実直な仕事/Honest Work,50.60%
イグアナオウム/Iguana Parrot,54.20%
侵略の潜水艇/Invasion Submersible,62.20%
飲めば潤う！/It'll Quench Ya!,58.40%
"Katara, Bending Prodigy",55.70%
知識探し/Knowledge Seeker,58.80%
クルクの伝説/The Legend of Kuruk,66.00%
失われた日々/Lost Days,58.80%
パク師/Master Pakku,52.90%
"The Mechanist, Aerial Artisan",59.20%
北極の巡視隊/North Pole Patrol,55.90%
タコの型/Octopus Form,57.50%
カワウソペンギン/Otter-Penguin,55.20%
盛り上がる雪玉投げ/Rowdy Snowballers,51.70%
血の技の秘密/Secret of Bloodbending,47.40%
峠の大蛇/Serpent of the Pass,53.30%
サカの俳句/Sokka's Haiku,56.70%
精霊のオアシス/The Spirit Oasis,53.50%
精霊の水の蘇生/Spirit Water Revival,55.70%
"Teo, Spirited Glider",57.10%
トラアザラシ/Tiger-Seal,54.20%
"Ty Lee, Chi Blocker",60.10%
キヨシ島の大ウナギ/The Unagi of Kyoshi Island,60.20%
"Wan Shi Tong, Librarian",65.40%
水のベンダーの位に至る/Waterbender Ascension,46.50%
水の技の修行/Waterbending Lesson,56.50%
水の技の奥義書/Waterbending Scroll,53.70%
水のつかみ技/Watery Grasp,58.30%
"Yue, the Moon Spirit",53.30%
アズーラは嘘つきだ/Azula Always Lies,55.00%
"Azula, On the Hunt",54.70%
甲虫兜の商人/Beetle-Headed Merchants,51.30%
釜茹岩の暴動者/Boiling Rock Rioter,56.20%
ハゲタカバチの巣/Buzzard-Wasp Colony,50.80%
無慈悲な監査官/Callous Inspector,54.90%
ケイコクオオグモ/Canyon Crawler,54.70%
ナマズワニ/Cat-Gator,57.40%
堕落した廷臣/Corrupt Court Official,55.90%
ダイ・リーの洗脳/Dai Li Indoctrination,52.40%
黒い太陽の日/Day of Black Sun,59.90%
正確無比/Deadly Precision,56.70%
壮大な破滅/Epic Downfall,58.50%
命取りの地割れ/Fatal Fissure,46.50%
火の国のドリル/The Fire Nation Drill,66.90%
火の国の技師/Fire Nation Engineer,55.60%
火の国の海軍の投石機/Fire Navy Trebuchet,54.90%
霧の沼地の狩人/Foggy Swamp Hunters,52.80%
霧の沼地の幻視/Foggy Swamp Visions,46.40%
無情な行動/Heartless Act,59.50%
イノザル/Hog-Monkey,51.60%
"Joo Dee, One of Many",55.30%
"June, Bounty Hunter",54.70%
"Koh, the Face Stealer",63.20%
"Lo and Li, Twin Tutors",54.30%
"Mai, Scornful Striker",54.10%
数多の帽子の商人/Merchant of Many Hats,54.20%
北の気の寺/Northern Air Temple,51.30%
妄執の追跡行/Obsessive Pursuit,58.40%
オザイの酷薄/Ozai's Cruelty,55.00%
不死鳥艦隊の飛行船/Phoenix Fleet Airship,60.80%
海賊の行商人/Pirate Peddlers,51.20%
カラスワシ/Raven Eagle,62.50%
ソジンの台頭/The Rise of Sozin,67.50%
滅びの水の技/Ruinous Waterbending,52.10%
完売/Sold Out,56.50%
ぬかるみ嵌めの罠/Swampsnare Trap,54.40%
ツンドラ戦車/Tundra Tank,54.30%
オオカミコウモリ/Wolfbat,54.00%
ズーコの決心/Zuko's Conviction,51.90%
イノアラシ/Boar-q-pine,51.80%
ブミの叩きつけ/Bumi Bash,52.50%
恋人たちのトンネル/The Cave of Two Lovers,59.80%
爆裂男/Combustion Man,52.10%
爆裂の技/Combustion Technique,58.70%
三日月の島の寺/Crescent Island Temple,53.50%
奇抜な動き/Cunning Maneuver,54.10%
脱走者の門弟/Deserter's Disciple,53.60%
巡り合わせたる火の力/Fated Firepower,57.00%
火の国の攻撃/Fire Nation Attacks,54.70%
火の国の士官候補生/Fire Nation Cadets,56.40%
火の国の侵略部隊/Fire Nation Raider,51.00%
火の賢者/Fire Sages,55.90%
火のベンダーの位に至る/Firebender Ascension,53.30%
火の技の修行/Firebending Lesson,58.30%
火の技の学び手/Firebending Student,51.40%
暴動の起こし方/How to Start a Riot,52.00%
アイローの表演/Iroh's Demonstration,58.90%
"Jeong Jeong, the Deserter",52.40%
ジェットの洗脳/Jet's Brainwashing,52.50%
最後のアグニカイ/The Last Agni Kai,49.30%
ロクの伝説/The Legend of Roku,62.40%
稲妻の一撃/Lightning Strike,57.30%
"Mai, Jaded Edge",53.00%
マングーストカゲ/Mongoose Lizard,52.70%
自由の代価/Price of Freedom,49.40%
ランとシャオ/Ran and Shaw,58.40%
雷逸らし/Redirect Lightning,50.60%
荒サイ騎兵隊/Rough Rhino Cavalry,51.50%
冬至に明かされる秘密/Solstice Revelations,50.50%
ソジンの彗星/Sozin's Comet,-
トラマジロ/Tiger-Dillo,56.10%
樹上の自由の闘士たち/Treetop Freedom Fighters,54.40%
双刀/Twin Blades,55.80%
"Ty Lee, Artful Acrobat",53.70%
戦気球/War Balloon,53.60%
戦時の抗議者/Wartime Protestors,59.20%
ユーヤン弓矢隊/Yuyan Archers,56.90%
"Zhao, the Moon Slayer",51.80%
"Zuko, Exiled Prince",52.30%
ついに仲間に/Allies at Last,58.80%
アバターの宿命/Avatar Destiny,47.20%
アナグマモグラ/Badgermole,56.50%
アナグマモグラの仔/Badgermole Cub,63.60%
"The Boulder, Ready to Rumble",56.10%
"Bumi, King of Three Trials",53.70%
再生のサイクル/Cycle of Renewal,50.20%
熱心な飼育係/Diligent Zookeeper,56.70%
土の王/The Earth King,64.20%
土の王国の将軍/Earth Kingdom General,56.30%
土の武道会/Earth Rumble,54.20%
土のベンダーの位に至る/Earthbender Ascension,62.50%
土の技の修行/Earthbending Lesson,51.70%
土の味方/Earthen Ally,55.20%
根源の教え/Elemental Teachings,-
"Flopsie, Bumi's Buddy",55.30%
霧の沼地の蔦のベンダー/Foggy Swamp Vinebender,51.90%
万里の渓谷の案内人/Great Divide Guide,62.40%
"Haru, Hidden Talent",53.60%
侵略作戦/Invasion Tactics,50.40%
キヨシ島の広場/Kyoshi Island Plaza,49.20%
舞い落ちる蔦の葉よ/Leaves from the Vine,52.30%
キヨシの伝説/The Legend of Kyoshi,58.70%
金属の技の原点/Origin of Metalbending,55.30%
ダチョウウマ/Ostrich-Horse,56.80%
石塔での打ち上げ/Pillar Launch,56.80%
騒々しい観客/Raucous Audience,56.20%
抗う囚人たち/Rebellious Captives,54.90%
岩雪崩/Rockalanche,54.60%
岩の叱責/Rocky Rebuke,56.00%
キバヘラジカライオン/Saber-Tooth Moose-Lion,52.80%
震動感覚/Seismic Sense,55.10%
一繋がりの根/Shared Roots,54.00%
演習のカカシ/Sparring Dummy,52.00%
"Toph, the Blind Bandit",58.00%
祖先の真実/True Ancestry,54.90%
カメアヒル/Turtle-Duck,53.60%
不幸なキャベツ売りの商人/Unlucky Cabbage Merchant,53.80%
壁上の哨兵/Walltop Sentries,54.90%
"Aang, at the Crossroads",62.30%
"Aang, Swift Savior",65.10%
愛着を捨てる/Abandon Attachments,55.10%
気の民の遺物/Air Nomad Legacy,55.80%
アバター・アン/Avatar Aang,53.80%
"Azula, Cunning Usurper",62.90%
ベイフォン家の賞金稼ぎ/Beifong's Bounty Hunters,60.10%
辛い修練/Bitter Work,52.30%
"Bumi, Unleashed",62.30%
ネコフクロウ/Cat-Owl,53.40%
冷酷な管理官/Cruel Administrator,52.00%
ダイ・リーの調査官/Dai Li Agents,56.70%
リュウトンボの群れ/Dragonfly Swarm,58.20%
土の王国の兵士/Earth Kingdom Soldier,55.40%
土の将軍の副官/Earth King's Lieutenant,60.50%
土の武道会の武道家たち/Earth Rumble Wrestlers,53.30%
土の村の悪漢/Earth Village Ruffians,53.50%
火の王アズーラ/Fire Lord Azula,51.20%
火の王ズーコ/Fire Lord Zuko,47.20%
霧の沼地の精霊守/Foggy Swamp Spirit Keeper,60.20%
導師パティーク/Guru Pathik,57.20%
"Hama, the Bloodbender",54.20%
"Hei Bai, Spirit of Balance",53.90%
浮世離れした薬草師/Hermitic Herbalist,57.10%
"Iroh, Grand Lotus",58.40%
"Iroh, Tea Master",57.10%
"Jet, Freedom Fighter",57.10%
"Katara, the Fearless",52.00%
"Katara, Water Tribe's Hope",62.20%
獅子亀/The Lion-Turtle,56.90%
"Long Feng, Grand Secretariat",51.50%
伝書鷹/Messenger Hawk,57.70%
"Ozai, the Phoenix King",58.60%
カモノハシグマ/Platypus-Bear,53.10%
タコ病持ちの偽装者/Pretending Poxbearers,55.60%
"Professor Zei, Anthropologist",55.80%
砂のベンダーのあさり屋/Sandbender Scavengers,51.20%
"Sokka, Bold Boomeranger",54.10%
"Sokka, Lateral Strategist",59.40%
"Sokka, Tenacious Tactician",54.10%
"Suki, Kyoshi Warrior",55.50%
太陽の戦士たち/Sun Warriors,53.90%
戦の犠牲者/Tolls of War,58.50%
"Toph, Hardheaded Teacher",58.10%
"Toph, the First Metalbender",55.80%
伯父、アイロー/Uncle Iroh,52.30%
懲罰的な獄長/Vindictive Warden,53.70%
放浪の楽士/Wandering Musicians,55.30%
白蓮会の増援/White Lotus Reinforcements,58.80%
"Zhao, Ruthless Admiral",50.60%
"Zuko, Conflicted",50.90%
爆破ゼリーの樽/Barrels of Blasting Jelly,54.20%
ベンダーの水袋/Bender's Waterskin,53.90%
火の国の軍船/Fire Nation Warship,57.00%
キヨシの鉄扇/Kyoshi Battle Fan,56.00%
隕鉄剣/Meteor Sword,51.70%
ワン・シー・トンのプラネタリウム/Planetarium of Wan Shi Tong,57.90%
頼りのブーメラン/Trusty Boomerang,46.20%
バーシンセーの城壁/The Walls of Ba Sing Se,-
白蓮の駒/White Lotus Tile,-
放棄された気の寺/Abandoned Air Temple,61.80%
アグナ・ケラ/Agna Qel'a,57.60%
飛行船の機関室/Airship Engine Room,55.70%
バーシンセー/Ba Sing Se,59.30%
釜茹岩の牢獄/Boiling Rock Prison,54.30%
火の国の宮殿/Fire Nation Palace,52.50%
霧の沼地の最深部/Foggy Bottom Swamp,54.60%
茶屋「ジャスミンの龍」/Jasmine Dragon Tea Shop,56.10%
キヨシ村/Kyoshi Village,55.20%
瞑想の淵/Meditation Pools,54.90%
ミスティ・パーム・オアシス/Misty Palms Oasis,55.80%
北極の門/North Pole Gates,56.30%
オマシュの都/Omashu City,54.80%
コーの領域/Realm of Koh,57.40%
武道会の闘技場/Rumble Arena,56.30%
秘密のトンネル/Secret Tunnel,58.00%
大蛇の峠/Serpent's Pass,57.00%
太陽の祝福受けし山頂/Sun-Blessed Peak,54.40%
白蓮会の隠れ家/White Lotus Hideout,51.60%
Brought Back,-
Drannith Magistrate,-
Empty City Ruse,-
"Lita, Mechanical Engineer",-
Release to Memory,-
Scout's Warning,-
Teferi's Protection,-
Three Dreams,-
Agent of Treachery,-
Bribery,-
Clone,-
Clone Legion,-
Force of Negation,-
Imprisoned in the Moon,-
Intruder Alarm,-
Mystic Remora,-
Prosperity,-
Sakashima of a Thousand Faces,-
Standstill,-
Training Grounds,-
Visions of Beyond,-
Black Sun's Zenith,-
Bloodchief Ascension,-
Cruel Tutor,-
Noxious Gearhulk,-
Blasphemous Act,-
"Diaochan, Artful Beauty",-
Dockside Extortionist,-
Fervor,-
Humble Defector,-
Insurrection,-
Lightning Bolt,-
Mirrorwing Dragon,-
Rending Volley,-
Searing Blood,-
Shattering Spree,-
Volcanic Torrent,-
Warstorm Surge,-
Beastmaster Ascension,-
Elemental Bond,-
The Great Henge,-
